f,Ydd_c,Ydq_c,Yqd_c,Yqq_c,Ydd_g,Ydq_g,Yqd_g,Yqq_g
20,5.94342420644358e-07-0.000249188701438021i,0.000281570205905331+0.0103935907042091i,-7.84591821687687e-05-0.000118724854146691i,-3.07264650678911e-05-4.7467011386585e-05i,0.0016817960225028-0.00326958909757025i,0.00858111640885608+0.00113979624871342i,-0.0085811164429052-0.00113979619969543i,0.00168179601288294-0.00326958905827575i
21,1.50610127675255e-06-0.000251488255167949i,0.000281647951030078+0.00989908662778905i,-6.86915636333118e-05-0.000126663536034869i,-4.52939299042181e-05-6.12405695784643e-05i,0.00176760535381026-0.00348757663902565i,0.00872580594963125+0.00124061248406568i,-0.00872580598420631-0.00124061243807552i,0.00176760534389776-0.00348757660025011i
22,2.46820307807128e-06-0.000254225625696063i,0.000281660481948943+0.00944949761450589i,-5.93133514355949e-05-0.00013388379710526i,-4.99974771910384e-05-6.48053466140999e-05i,0.00186308149165618-0.00371514140124926i,0.00888204812114381+0.0013504825853102i,-0.00888204815629105-0.00135048254214407i,0.00186308148140994-0.00371514136283281i
24,4.51672886158751e-06-0.000260812206051397i,0.000281660147128505+0.00866274983887225i,-3.80937322401712e-05-0.000142236341286578i,-5.58376539269862e-05-6.95952168830262e-05i,0.00208823222557042-0.00420258685849938i,0.00923246680273115+0.00160271146794167i,-0.00923246683918352-0.00160271142995777i,0.00208823221453691-0.0042025868203309i
25,5.61067981784772e-06-0.000264566850191847i,0.000281708458172206+0.00831669233889093i,-2.76191819246764e-05-0.00014415265235211i,-6.63252033581435e-05-8.63399057788229e-05i,0.00222108561198191-0.00446443294122607i,0.00942846455351533+0.00174830832286424i,-0.00942846459071204-0.00174830828730408i,0.00222108560046645-0.00446443290296491i
27,7.94944067039481e-06-0.000272809083601111i,0.000281741703429913+0.00770148311567251i,-8.80548026257945e-06-0.000145462718257936i,-7.79538765129788e-05-0.0001107914483373i,0.00253756056635161-0.00502980537753572i,0.00986713685838226+0.0020888131482649i,-0.00986713689724206-0.00208881311734894i,0.00253756055365769-0.00502980533871719i
29,1.04820236424726e-05-0.000281851114218262i,0.000281712969726706+0.00717112225231756i,7.90758083778903e-06-0.000143074143928904i,-8.05765833665683e-05-0.000123268360719222i,0.00294016070377203-0.00565868268580279i,0.010375568986701+0.00251365994830186i,-0.0103755690275019-0.00251365992193066i,0.00294016068952692-0.00565868264593042i
31,1.32077593774928e-05-0.000291517193286862i,0.000281720234286342+0.00670937065195587i,2.20930900728142e-05-0.000138512443491024i,-8.91639787128202e-05-0.000155411914414691i,0.00345931418041749-0.00636085933744476i,0.0109631073527634+0.00305344811978004i,-0.0109631073958174-0.00305344809807232i,0.00345931416412087-0.0063608592960405i
33,1.61253438835094e-05-0.000301669445327403i,0.00028166553325939+0.00630354008803195i,3.36826282254647e-05-0.000133197373273627i,-8.87597719498296e-05-0.000169575687711235i,0.00413927243191912-0.00714480896689674i,0.0116378189860901+0.00375258009798654i,-0.011637819031723-0.00375258008130079i,0.00413927241289494-0.00714480892350659i
35,1.92290556533395e-05-0.000312205384640071i,0.000281621281823171+0.00594419719007812i,4.30598673229877e-05-0.000127778162552008i,-9.04186448562038e-05-0.000193335610151141i,0.00504527898845542-0.00801340561831212i,0.0124022080898782+0.0046764328548013i,-0.0124022081384105-0.00467643284380724i,0.00504527896577093-0.00801340557251218i
37,2.25127763119729e-05-0.000323045968471016i,0.000281563837332133+0.00562374564942097i,5.07826861274342e-05-0.000122239020544493i,-9.05261789818718e-05-0.000215971270524144i,0.00627415452686581-0.00895381599983061i,0.0132431041509334+0.00592194517210157i,-0.0132431042026227-0.00592194516789931i,0.00627415449920196-0.00895381595128178i
40,2.77644397387689e-05-0.000339742652755927i,0.000281450628971534+0.00520319827387027i,6.00810793433596e-05-0.000113714606377418i,-8.74126796448036e-05-0.00024348294036438i,0.00904884740124778-0.0103638136579572i,0.0145119626117361+0.00871955106112998i,-0.0145119626680468-0.00871955107051496i,0.00904884736237616-0.0103638136052739i
42,3.14777174328401e-05-0.000351087871118708i,0.000281370784946489+0.00495627525522367i,6.48837484918735e-05-0.000108681892860719i,-8.52275331234238e-05-0.000264119857609321i,0.0118224718293882-0.0110351004715619i,0.0150941733902972+0.0115072206997753i,-0.015094173448481-0.0115072207216863i,0.0118224717793867-0.0110351004172671i
45,3.73532488093587e-05-0.000368333799210085i,0.000281232607144318+0.00462708560473582i,7.07752562059126e-05-0.000101334160301026i,-7.99549729557895e-05-0.000290015876002089i,0.0177970629089443-0.0103882355570324i,0.0143205881271414+0.0175012308693881i,-0.0143205881812616-0.0175012309168542i,0.0177970628352498-0.0103882355071143i
48,4.35842206694947e-05-0.000385758310937353i,0.000281082798355592+0.00433911758141159i,7.53417782987612e-05-9.47561874332541e-05i,-7.38598353795385e-05-0.000315251596814i,0.0245244965747986-0.00492131717495586i,0.00873453173013702+0.0242463273743677i,-0.00873453176084405-0.0242463274493925i,0.0245244964751741-0.00492131714869216i
51,5.01573206634146e-05-0.000403277814216155i,0.000280927612285381+0.00408511947522855i,7.89026544913872e-05-8.90407482057254e-05i,-6.78670897725077e-05-0.000343708368579024i,0.0259227100023701+0.00546132625690062i,-0.00176033396147233+0.0256607111355749i,0.00176033397293229-0.0256607112158577i,0.0259227098989247+0.00546132624081483i
55,5.94304078405287e-05-0.00042667392420386i,0.000280697926545712+0.0037896191276059i,8.25792188992422e-05-8.23490814331602e-05i,-5.77804842794802e-05-0.000374698559941427i,0.0177703692339786+0.014135011691317i,-0.0105737747038098+0.0175279241902594i,0.0105737747491228-0.0175279242381403i,0.0177703691646103+0.0141350116412047i
59,6.92565005670372e-05-0.000450001478132713i,0.000280453249534304+0.0035342852601795i,8.53831875692172e-05-7.65496553436826e-05i,-4.69151208807648e-05-0.000404866610465592i,0.0102752823238679+0.0145209421052745i,-0.0110892637971209+0.0100502925819305i,0.0110892638432339-0.0100502926012108i,0.0102752822845519+0.0145209420542469i
63,7.96042358278062e-05-0.0004731661939894i,0.000280196572698715+0.0033114739293i,8.75958392984856e-05-7.13358840262251e-05i,-3.56517840608234e-05-0.000435754016624243i,0.00620273530327858+0.0127540407127091i,-0.00944284153741663+0.00599336358952544i,0.00944284157626994-0.00599336359406692i,0.00620273527997002+0.0127540406688701i
67,9.04427372683622e-05-0.000496090325600046i,0.000279927586453593+0.00311535258917577i,8.93133244789444e-05-6.70089909141355e-05i,-2.38646454247887e-05-0.00046630231084562i,0.00404359329940797+0.0109907266413529i,-0.00779186294321107+0.00384825819094302i,0.00779186297510617-0.00384825818823931i,0.00404359328446263+0.0109907266044327i
71,0.0001017399144037-0.000518716866127126i,0.000279645246244123+0.0029413978013429i,9.07335028526326e-05-6.29741998697314e-05i,-1.13136109944899e-05-0.000494854186844803i,0.00281824378514524+0.00956404276566075i,-0.00647016994073448+0.00263557556956584i,0.00647016996714488-0.0026355755631695i,0.00281824377488546+0.00956404273421217i
76,0.00011645853867674-0.000546506170957364i,0.00027927616688031+0.00274979538112975i,9.2140955743919e-05-5.86697031422058e-05i,5.17042311651801e-06-0.000528830173131656i,0.00192971955015178+0.00820346264296233i,-0.00523155109980413+0.00176122248085994i,0.00523155112111687-0.00176122247220387i,0.00192971954324653+0.00820346261662129i
81,0.000131782678309435-0.000573679121092324i,0.000278891319504522+0.00258194141342651i,9.32626899140688e-05-5.49238484442567e-05i,2.23514040331001e-05-0.000561484963391583i,0.00140371557422238+0.00718337164928494i,-0.00432420015118049+0.00124780196287713i,0.00432420016877943-0.00124780195322216i,0.00140371556927676+0.00718337162668953i
86,0.000147650678135817-0.000600178801394898i,0.00027849230394091+0.00243368978439418i,9.41733009776794e-05-5.1635971134672e-05i,4.01418616259552e-05-0.000592872409560426i,0.00106839062780516+0.00639739093715846i,-0.00364274265704239+0.000923702025717275i,0.00364274267186124-0.000923702015677657i,0.00106839062409353+0.00639739091739079i
92,0.000167324493378766-0.000631029709226564i,0.000277996700329677+0.00227715653193115i,9.50538617230456e-05-4.82396936651821e-05i,6.22210862698471e-05-0.000628729850536894i,0.000805591288312329+0.00566602059871766i,-0.00302716224622001+0.000672843254450809i,0.00302716225853387-0.000672843244354194i,0.000805591285555813+0.00566602058152616i
98,0.00018759061337011-0.000660797636001814i,0.000277485013241109+0.00213988424175762i,9.57779641231676e-05-4.51668163751023e-05i,8.50063595685589e-05-0.000662544319476083i,0.00063082959538566+0.00509468321515823i,-0.00256229590970528+0.000508603482878339i,0.00256229592013127-0.000508603472943328i,0.00063082959325614+0.00509468319993685i
105,0.000211850130517362-0.000694112309637866i,0.000276872845136672+0.00199967300920974i,9.64565908462507e-05-4.21378656624244e-05i,0.000112036818141688-0.000700865847753259i,0.000491907122714991+0.00456782798578485i,-0.00214930909360621+0.000380449625110559i,0.00214930910235695-0.000380449615490001i,0.000491907121077567+0.00456782797234245i
112,0.000236628463466401-0.000725879136507684i,0.000276246413861545+0.00187708786863129i,9.70110373450957e-05-3.94990878948121e-05i,0.000139600215517412-0.000736949769440278i,0.000395489191221881+0.00414715540555456i,-0.00183272516984285+0.000293438133940632i,0.00183272517731078-0.00029343812468867i,0.000395489189921838+0.00414715539350353i
119,0.000261782678710996-0.000756094117771882i,0.000275608205244975+0.00176900730688497i,9.74743503797531e-05-3.71515638570896e-05i,0.000167687501705509-0.000770205925970878i,0.000325714219693202+0.00380286493480437i,-0.00158394936220009+0.000231927772428721i,0.00158394936866072-0.000231927763558647i,0.000325714218634449+0.00380286492387092i
127,0.000290820316623089-0.000788744506424585i,0.000274871434611187+0.00166017453281708i,9.79163479791235e-05-3.48103799778583e-05i,0.000199789882874295-0.000806822181124748i,0.00026711894462692+0.00347810271971969i,-0.00135914367324143+0.000181605759821995i,0.00135914367879221-0.000181605751379904i,0.000267118943768249+0.00347810270982185i
136,0.000323641254864835-0.000823134327282766i,0.000274035720341762+0.00155314106182562i,9.83323882083168e-05-3.24809332920706e-05i,0.000236081811875807-0.000844580089455589i,0.000218889427385423+0.00317754979934173i,-0.00116081222551042+0.000141440004621684i,0.00116081223025891-0.000141439996635099i,0.000218889426689642+0.00317754979038534i
145,0.000356403345305085-0.000855135815270245i,0.000273198364000494+0.00145948463619575i,9.86806863808442e-05-3.04783728755993e-05i,0.000272282107226551-0.000879076840366114i,0.000183065032552057+0.00292806554760682i,-0.00100415382552619+0.000112590767899333i,0.00100415382964084-0.000112590760334844i,0.000183065031975823+0.00292806553941901i
154,0.000388905759782187-0.000884866618829832i,0.000272364806262304+0.0013768544676144i,9.89791702271279e-05-2.87103031561689e-05i,0.000308084998342596-0.00091086743926388i,0.000155664312931424+0.00271725992830932i,-0.000878015357696607+9.12640192321718e-05i,0.000878015361300941-9.12640120553336e-05i,0.000155664312445722+0.00271725992076151i
165,0.000428030462306748-0.000918315646754227i,0.000271357829071972+0.00128819789617146i,9.92925823521023e-05-2.67961861896594e-05i,0.000350939146793472-0.000946680020582047i,0.000130053769239786+0.00249975716424883i,-0.000754402246728818+7.20678943121516e-05i,0.00075440224983283-7.20678875651043e-05i,0.000130053768837937+0.00249975715735219i
176,0.000466255993254193-0.000948833448265103i,0.000270368821815392+0.00121071043667355i,9.95619858361961e-05-2.51191924450761e-05i,0.000392674727652507-0.000979005602052469i,0.000110481382320136+0.00231627312245461i,-0.000655697253080577+5.7997524651212e-05i,0.000655697255785192-5.7997518290242e-05i,0.00011048138198151+0.00231627311609989i
188,0.0005066975233823-0.000979100129405368i,0.000269315413012444+0.00113660405972715i,9.98172735548066e-05-2.35120824003785e-05i,0.000436792056957038-0.00101038947556701i,9.39279923834848e-05+0.00214599175987439i,-0.000568990063856237+4.65987883250131e-05i,0.000568990066209732-4.65987823408864e-05i,9.39279920980038e-05+0.00214599175401669i
200,0.000545640684450615-0.00100654913925297i,0.000268294437597315+0.00107147120222652i,0.000100041082704277-2.21014992420594e-05i,0.000479043813669326-0.00103884140282187i,8.09442512802603e-05+0.00200011773312223i,-0.000498687983307104+3.80461945669123e-05i,0.000498687985376007-3.80461889193619e-05i,8.09442510361005e-05+0.00200011772768542i
213,0.000585988807880449-0.00103349646178072i,0.000267227675957259+0.00100927124702399i,0.000100255247224027-2.07303591333534e-05i,0.000522717772743887-0.00106636651752546i,6.9783379826366e-05+0.00186381613783492i,-0.000436492054051491+3.1018538482325e-05i,0.000436492055868012-3.10185331617319e-05i,6.97833796172059e-05+0.00186381613278819i
228,0.000630045746218767-0.00106149572255142i,0.000266051049741754+0.000946409372761145i,0.000100473091521948-1.9338375632712e-05i,0.000570213160743323-0.00109474013916038i,5.96257334397314e-05+0.00172876082878144i,-0.000378349378962039+2.49288191218334e-05i,0.000378349380542679-2.49288141353287e-05i,5.96257332622315e-05+0.00172876082411736i
243,0.000671372393723416-0.00108671663769937i,0.000264933681441208+0.00089140041846252i,0.000100665427033903-1.81056086384381e-05i,0.000614606381488982-0.00112003718623345i,5.15881265552635e-05+0.00161258353930572i,-0.000331224774883118+2.03510019106622e-05i,0.000331224776272209-2.03509972195412e-05i,5.15881264029447e-05+0.0016125835349684i
259,0.000712463754103328-0.00111111796445863i,0.000263806621534234+0.000839842591420088i,0.000100847774065338-1.69409977435041e-05i,0.000658606591866636-0.00114425481741841i,4.47228474852004e-05+0.00150521847924175i,-0.000290139195800853+1.66353955101524e-05i,0.000290139197029902-1.66353910977721e-05i,4.47228473550644e-05+0.00150521847519687i
276,0.0007528369158382-0.0011347887061213i,0.000262680554619387+0.000791716262813523i,0.000101019079434538-1.5824333387971e-05i,0.00070163275299708-0.00116769455101687i,3.88593968776519e-05+0.00140617990681391i,-0.000254405056707484+1.36237555161033e-05i,0.000254405057782631-1.36237513696867e-05i,3.88593967623724e-05+0.00140617990305263i
295,0.00079414716249103-0.00115913180831232i,0.000261503417225526+0.000744611787467588i,0.000101188517239767-1.47181652796271e-05i,0.000745588672321274-0.00119142647164284i,3.35992493911042e-05+0.00131021176473719i,-0.000221816432268175+1.10656888216731e-05i,0.00022181643321223-1.10656849337415e-05i,3.35992492936256e-05+0.00131021176123846i
314,0.000831696587705977-0.00118183089910497i,0.000260406392257008+0.000703332217051274i,0.000101337829552503-1.37276750717385e-05i,0.000785415074397359-0.00121343564060804i,2.93573903147186e-05+0.001226777767079i,-0.000195153759620084+9.11414522167076e-06i,0.000195153760455555-9.1141415635562e-06i,2.93573902296704e-05+0.00122677776380873i
335,0.000869180783708753-0.00120559163452264i,0.000259278677530305+0.000663296884974992i,0.000101482597301685-1.2741086908019e-05i,0.000825012569186418-0.00123648250175522i,2.55548835329071e-05+0.00114633891991864i,-0.000170950383708954+7.45921976891303e-06i,0.000170950384445518-7.4592163351621e-06i,2.5554883459264e-05+0.00114633891686795i
358,0.000905860289434799-0.0012305996097797i,0.000258133876321309+0.000625003203441813i,0.000101620497412384-1.17714206918652e-05i,0.000863680598505075-0.00126062043371423i,2.21916034422488e-05+0.00106972872788449i,-0.000149296031566585+6.07822316259652e-06i,0.000149296032214594-6.07821994522856e-06i,2.21916033785586e-05+0.001069728725042i
382,0.000939797863980138-0.00125609258561033i,0.000257027342029078+0.000590141807228153i,0.000101745613095563-1.08687555305574e-05i,0.000899331810556948-0.00128529454520456i,1.93524751770758e-05+0.00100015103506275i,-0.000130830379427848+4.97945731176594e-06i,0.000130830380000259-4.97945429300716e-06i,1.93524751218044e-05+0.00100015103240857i
407,0.000971013974036398-0.00128243769053065i,0.000255956048584085+0.000558390550880131i,0.000101857299486915-1.00161518168311e-05i,0.000932068107073517-0.00131078619263343i,1.69440863498122e-05+0.000936811789914686i,-0.000115028990129028+4.10041403066297e-06i,0.000115028990636696-4.10041119442697e-06i,1.69440863016179e-05+0.000936811787431374i
434,0.0010006106013175-0.00131102623592649i,0.000254877230800107+0.000528419947435741i,0.000101960120331208-9.18281141305915e-06i,0.000963065931842471-0.00133847929412373i,1.48203435837751e-05+0.000876941756544785i,-0.000100988068039995+3.36956481425895e-06i,0.000100988068490034-3.36956215191616e-06i,1.4820343541805e-05+0.000876941754222476i
463,0.00102830949409247-0.00134220065146809i,0.000253793059404039+0.000500360370979i,0.000102052882153306-8.3713126434365e-06i,0.00099199532355167-0.00136884228959364i,1.29591842231724e-05+0.00082069837782792i,-8.85989013809694e-05+2.76639508191129e-06i,8.8598901780121e-05-2.76639258415329e-06i,1.29591841865883e-05+0.000820698375656474i
494,0.00105394112221518-0.00137630142775517i,0.000252702150538006+0.000474269828257834i,0.000102135978590003-7.58933019421948e-06i,0.00101873723316888-0.00140215671993492i,1.1335421723447e-05+0.000768112478532229i,-7.77244743218167e-05+2.27121437556248e-06i,7.77244746762575e-05-2.27121203262559e-06i,1.1335421691546e-05+0.000768112476501484i
527,0.00107742946507492-0.00141364850139652i,0.000251601003104744+0.000450153115325247i,0.000102207999607006-6.83183841312252e-06i,0.00104319311089415-0.00143881821961432i,9.9231297073832e-06+0.000719123449190015i,-6.82157795096177e-05+1.86612415983288e-06i,6.82157798249611e-05-1.86612196193513e-06i,9.92312967964823e-06+0.000719123447290018i
562,0.00109877413709966-0.00145452847300815i,0.000250483502123085+0.000427974429029624i,0.000102269029421251-6.10016547722082e-06i,0.00106542165101758-0.00147904677585046i,8.69716627264395e-06+0.000673607590671391i,-5.99229445413001e-05+1.53543759016034e-06i,5.99229448224821e-05-1.53543552767936e-06i,8.69716624842743e-06+0.000673607588892622i
600,0.00111851140769212-0.00150041507404713i,0.000249311798725787+0.000407161374706584i,0.000102320207476133-5.37532026151862e-06i,0.00108598014856409-0.00152433352037364i,7.60810825389802e-06+0.000630333211095953i,-5.25256597147306e-05+1.25937724031042e-06i,5.25256599653842e-05-1.25937530703612e-06i,7.60810823267916e-06+0.000630333209432489i
