f,Ydd_c,Ydq_c,Yqd_c,Yqq_c,Ydd_g,Ydq_g,Yqd_g,Yqq_g
365,0.00067551323132851+0.00115026808834707i,0.000106003297352024+3.31391667397344e-05i,-0.000135431575615484-0.000616208126767801i,0.000746212206092517+0.00108747075748046i,2.11580492937489e-05-0.00104848046469484i,0.00014352411955499+5.72734330236482e-06i,-0.000143524201872846-5.72725650579145e-06i,2.11579808649143e-05-0.00104848057968114i
373,0.000683999130284631+0.00116000009052574i,0.000106090797522172+3.23693817404414e-05i,-0.000135771059133757-0.000603023413340456i,0.000753836807681528+0.00109770516400375i,2.02089176834835e-05-0.00102518463958028i,0.000137329813959386+5.3580407397607e-06i,-0.000137329772088221-5.35807381396596e-06i,2.02089293883343e-05-0.00102518474509422i
388,0.000698932030040924+0.00117834335579832i,0.000106242794046189+3.10035050741287e-05i,-0.000136366495156889-0.000579737912875204i,0.000767257471051+0.00111698908836603i,1.85958956684801e-05-0.000984224879034377i,0.000126752866294992+4.74752265552904e-06i,-0.000126752790459841-4.74750186468809e-06i,1.85959118878868e-05-0.000984224855994256i
391,0.000701774076231852+0.00118203037498845i,0.000106271435671825+3.07416734299868e-05i,-0.000136479504432918-0.000575290787753724i,0.000769812297976487+0.00112086353483046i,1.82968257003811e-05-0.00097642844273589i,0.000124785098415029+4.63678402580089e-06i,-0.000124785127970942-4.63679615502476e-06i,1.82970070241881e-05-0.000976428465338566i
408,0.000717036579646633+0.00120306227823911i,0.000106423666228901+2.9323443499019e-05i,-0.000137084418622258-0.000551300421562609i,0.000783536353081386+0.00114294962403846i,1.67332953150869e-05-0.000934513135735706i,0.000114458329850391+4.0702147551718e-06i,-0.00011445833870543-4.07021424552043e-06i,1.67332764565447e-05-0.000934513140377665i
413,0.000721267592070035+0.0012092973717026i,0.000106465389281393+2.89262605564814e-05i,-0.000137251462196468-0.000544612497526765i,0.000787342244588587+0.00114949154865883i,1.63120844740571e-05-0.000922870630979704i,0.000111665519045906+3.92146335719427e-06i,-0.000111665524348769-3.92134793814282e-06i,1.63121044580621e-05-0.000922870629650771i
426,0.000731760169661261+0.00122562383213378i,0.000106567944343521+2.79326349709905e-05i,-0.00013766433149771-0.000527943324903856i,0.00079678358089248+0.00116660725088074i,1.52898911955054e-05-0.00089393231645746i,0.000104866986822334+3.56705664516444e-06i,-0.000104866957854161-3.56703630866289e-06i,1.52897801137741e-05-0.000893932347847449i
439,0.000741566758354097+0.00124212674613188i,0.000106662585262103+2.69915597213078e-05i,-0.000138048208232314-0.000512240839662532i,0.000805612122542392+0.00118388542705784i,1.43621419972807e-05-0.000866775288576324i,9.86731651171631e-05+3.25413637134057e-06i,-9.86731821707214e-05-3.25426834623323e-06i,1.43621976787803e-05-0.00086677521283773i
444,0.000745167825334261+0.00124852310732102i,0.000106697035930653+2.66426552903178e-05i,-0.000138188628653254-0.000506441072869807i,0.000808855272335884+0.00119057587493262i,1.40282643079572e-05-0.000856769806105448i,9.64369790147263e-05+3.14364955987053e-06i,-9.64368929224835e-05-3.14370299463929e-06i,1.40281954707156e-05-0.000856769577570294i
461,0.000756753655298539+0.0012704815735053i,0.00010680672869466+2.5506617400532e-05i,-0.000138638172058241-0.00048764305225889i,0.000819294682109325+0.00121351591699439i,1.29772273923507e-05-0.000824431679290726i,8.93781959091091e-05+2.80360188276036e-06i,-8.93781705966747e-05-2.80354539623574e-06i,1.29771790009434e-05-0.000824431736743549i
468,0.000761246612810493+0.00127961973654079i,0.000106848778832613+2.50600510526179e-05i,-0.000138811489655591-0.000480291155536272i,0.000823345389816441+0.00122304965240978i,1.2579154652391e-05-0.00081182236601798i,8.66959947230766e-05+2.67779332029758e-06i,-8.66959804303456e-05-2.67780361920481e-06i,1.25792061849283e-05-0.000811822255604438i
479,0.000768003295557089+0.00129409490608858i,0.000106911475656928+2.43815390401231e-05i,-0.000139070930023542-0.000469162957107067i,0.000829439757651488+0.00123813588715304i,1.19905200180868e-05-0.000792776317595717i,8.27194605285788e-05+2.49499373339748e-06i,-8.27195233979896e-05-2.49495257916934e-06i,1.19905330129976e-05-0.000792776362252754i
496,0.000777767075161892+0.00131674385413488i,0.000107000868098478+2.3384973812034e-05i,-0.000139442976791854-0.000452914815942466i,0.000838252983401144+0.00126170321655959i,1.11605921289548e-05-0.000765054320283986i,7.70932924741698e-05+2.24388826103868e-06i,-7.70930929501132e-05-2.24388173141448e-06i,1.11607011226654e-05-0.000765054287899198i
498,0.000778864911517673+0.00131943063920307i,0.000107010825602722+2.32716435429296e-05i,-0.000139484576719656-0.000451074594560705i,0.000839244468063952+0.0012644959422096i,1.10687667148433e-05-0.000761921041248622i,7.64694062136852e-05+2.21658853717422e-06i,-7.64693870457423e-05-2.21661583853315e-06i,1.10688243679772e-05-0.000761921054841683i
514,0.000787289253031892+0.00134109223245794i,0.000107086565945185+2.23927014459194e-05i,-0.000139802047860553-0.000436857007913427i,0.000846856637637571+0.00128698898342383i,1.03746177757794e-05-0.000737757410756398i,7.17412314374903e-05+2.01347309480639e-06i,-7.17411343840855e-05-2.01355471718817e-06i,1.03745485279655e-05-0.000737757418489968i
529,0.000794646116489284+0.00136166748011267i,0.00010715168197752+2.16107160922455e-05i,-0.000140076490408821-0.000424291864999882i,0.00085351045200227+0.00130831773746078i,9.78287728120494e-06-0.000716467091074659i,6.7696833466758e-05+1.84528179177791e-06i,-6.76968020910633e-05-1.8451884343768e-06i,9.7828945144134e-06-0.000716467181270147i
532,0.000796058895185027+0.00136581319682942i,0.000107164069872991+2.14588971746408e-05i,-0.000140128861806541-0.000421861936424367i,0.000854788944668004+0.00131261114935359i,9.67075537120144e-06-0.000712356913560872i,6.69291054579416e-05+1.81382294196398e-06i,-6.69291493814828e-05-1.81377558327147e-06i,9.67086935863302e-06-0.000712356980141924i
549,0.000803720776664513+0.00138949548932087i,0.000107230553333123+2.06256352305497e-05i,-0.000140410825779177-0.000408582577189919i,0.000861726988142228+0.00133711161924715i,9.0718120087727e-06-0.000689935087063505i,6.28166861671113e-05+1.64860814604545e-06i,-6.2816741770763e-05-1.6487461727504e-06i,9.07186142765185e-06-0.000689935057278423i
563,0.000809620181872782+0.00140923643927505i,0.000107280884643059+1.99719214080695e-05i,-0.000140625317130503-0.00039823502607146i,0.000867074582550662+0.00135750271054147i,8.62078672808902e-06-0.000672510556753123i,5.97088085702839e-05+1.5275369844408e-06i,-5.97088240146151e-05-1.5274980931235e-06i,8.62085690979788e-06-0.000672510525778669i
567,0.000811242212849591+0.00141491534707707i,0.000107294582878315+1.97902154494045e-05i,-0.000140683851529978-0.000395370235914594i,0.000868545806167299+0.00136336350997179i,8.49839587004254e-06-0.000667693781338994i,5.88632607506624e-05+1.49509908758608e-06i,-5.88632763734188e-05-1.49507610856313e-06i,8.49836981863601e-06-0.000667693725428993i
599,0.000823295466515418+0.00146094420630847i,0.000107394286290117+1.84111071350473e-05i,-0.00014111202354439-0.000373797209604347i,0.000879492108197513+0.00141078738994936i,7.60968426203272e-06-0.000631523725858204i,5.27023960660164e-05+1.26605120253944e-06i,-5.27023909223063e-05-1.26603509445795e-06i,7.60966571811063e-06-0.000631523721574617i
